sample_index,timestamp_utc,timestamp_monotonic,x_mm,y_mm,z_mm,trigger_raw,trigger_latched,probe_signal_raw,probe_signal_unit,xy_position_uncertainty_mm,z_position_uncertainty_mm,probe_trigger_repeatability_mm
0,2026-09-12T13:43:25.383818+00:00,10945.337320832,20.0,20.0,120.05950305567303,False,False,0.0595030556730336,mm,0.01,0.0025,0.005
1,2026-09-12T13:43:25.383997+00:00,10945.337499905,21.0,20.0,120.05981126310463,False,False,0.059811263104634804,mm,0.01,0.0025,0.005
2,2026-09-12T13:43:25.384150+00:00,10945.337653523,22.0,20.0,120.05878819391238,False,False,0.05878819391237755,mm,0.01,0.0025,0.005
3,2026-09-12T13:43:25.384301+00:00,10945.337803956,23.0,20.0,120.0581985630274,False,False,0.05819856302740334,mm,0.01,0.0025,0.005
4,2026-09-12T13:43:25.384461+00:00,10945.337963845,24.0,20.0,120.05971237827468,False,False,0.05971237827468201,mm,0.01,0.0025,0.005
5,2026-09-12T13:43:25.384613+00:00,10945.338116583,25.0,20.0,120.06017498777635,False,False,0.06017498777634955,mm,0.01,0.0025,0.005
6,2026-09-12T13:43:25.384802+00:00,10945.338305001,26.0,20.0,120.06054198050619,False,False,0.06054198050618709,mm,0.01,0.0025,0.005
7,2026-09-12T13:43:25.384957+00:00,10945.338460362,27.0,20.0,120.06317267768512,False,False,0.0631726776851167,mm,0.01,0.0025,0.005
8,2026-09-12T13:43:25.384989+00:00,10945.338492714,28.0,20.0,120.06514784221439,False,False,0.06514784221438674,mm,0.01,0.0025,0.005
9,2026-09-12T13:43:25.385023+00:00,10945.338526027,29.0,20.0,120.06653781544063,False,False,0.06653781544062554,mm,0.01,0.0025,0.005
10,2026-09-12T13:43:25.385057+00:00,10945.338560059,30.0,20.0,120.0902032898048,False,False,0.09020328980480485,mm,0.01,0.0025,0.005
11,2026-09-12T13:43:25.385088+00:00,10945.338591019,31.0,20.0,120.09369298774104,False,False,0.0936929877410364,mm,0.01,0.0025,0.005
12,2026-09-12T13:43:25.385123+00:00,10945.338625835,32.0,20.0,120.09618639961741,False,False,0.09618639961740882,mm,0.01,0.0025,0.005
13,2026-09-12T13:43:25.385155+00:00,10945.338658316,33.0,20.0,120.1008177079752,False,False,0.10081770797519596,mm,0.01,0.0025,0.005
14,2026-09-12T13:43:25.385187+00:00,10945.338690668,34.0,20.0,120.10579886214687,False,False,0.10579886214686951,mm,0.01,0.0025,0.005
15,2026-09-12T13:43:25.385219+00:00,10945.338722476,35.0,20.0,120.1094838628489,False,False,0.10948386284890432,mm,0.01,0.0025,0.005
16,2026-09-12T13:43:25.385253+00:00,10945.338755741,36.0,20.0,120.11503071553844,False,False,0.11503071553843824,mm,0.01,0.0025,0.005
17,2026-09-12T13:43:25.385286+00:00,10945.338789149,37.0,20.0,120.1214570315374,False,False,0.12145703153740328,mm,0.01,0.0025,0.005
18,2026-09-12T13:43:25.385318+00:00,10945.338821165,38.0,20.0,120.12642244126997,False,False,0.12642244126996616,mm,0.01,0.0025,0.005
19,2026-09-12T13:43:25.385352+00:00,10945.33885507,39.0,20.0,120.13285720820484,False,False,0.1328572082048396,mm,0.01,0.0025,0.005
