sample_index,timestamp_utc,timestamp_monotonic,x_mm,y_mm,z_mm,trigger_raw,trigger_latched,probe_signal_raw,probe_signal_unit,xy_position_uncertainty_mm,z_position_uncertainty_mm,probe_trigger_repeatability_mm
0,2026-09-12T13:43:05.995243+00:00,10925.948745975,20.0,20.0,120.05950305567303,False,False,0.0595030556730336,mm,0.01,0.0025,0.005
1,2026-09-12T13:43:05.995473+00:00,10925.948976329,21.0,20.0,120.05981126310463,False,False,0.059811263104634804,mm,0.01,0.0025,0.005
2,2026-09-12T13:43:05.995677+00:00,10925.949179883,22.0,20.0,120.05878819391238,False,False,0.05878819391237755,mm,0.01,0.0025,0.005
3,2026-09-12T13:43:05.995874+00:00,10925.949376861,23.0,20.0,120.0581985630274,False,False,0.05819856302740334,mm,0.01,0.0025,0.005
4,2026-09-12T13:43:05.996055+00:00,10925.949558447,24.0,20.0,120.05971237827468,False,False,0.05971237827468201,mm,0.01,0.0025,0.005
5,2026-09-12T13:43:05.996234+00:00,10925.949737136,25.0,20.0,120.06017498777635,False,False,0.06017498777634955,mm,0.01,0.0025,0.005
6,2026-09-12T13:43:05.996403+00:00,10925.949905922,26.0,20.0,120.06054198050619,False,False,0.06054198050618709,mm,0.01,0.0025,0.005
7,2026-09-12T13:43:05.996437+00:00,10925.949940594,27.0,20.0,120.06317267768512,False,False,0.0631726776851167,mm,0.01,0.0025,0.005
8,2026-09-12T13:43:05.996471+00:00,10925.949974242,28.0,20.0,120.06514784221439,False,False,0.06514784221438674,mm,0.01,0.0025,0.005
9,2026-09-12T13:43:05.996515+00:00,10925.950018259,29.0,20.0,120.06653781544063,False,False,0.06653781544062554,mm,0.01,0.0025,0.005
10,2026-09-12T13:43:05.996550+00:00,10925.950052979,30.0,20.0,120.0902032898048,False,False,0.09020328980480485,mm,0.01,0.0025,0.005
11,2026-09-12T13:43:05.996582+00:00,10925.950085379,31.0,20.0,120.09369298774104,False,False,0.0936929877410364,mm,0.01,0.0025,0.005
